,name
967,vina
968,rashi
969,chumki sarkar
970,nathi
971,sulochna
972,harleen kaur
973,gurung
974,amrit
975, seema kanwar
976,smshida
977,shetal rani
978,moharan
979,urvarshi
980,bushara
981,seeva khan
982,seema sinha
983,bijali
984,sohan uraf pinta
985,beti
986,nikhad
987,shamshina
988,divya sharma  om prakash sharma
989,lashma
990,kamjeet
991,soni devi
992,susmita
993,santo
994,rajkumari
995,sukhvir kaur
996,kadu
997,jayshwal
998,batra
999,mintu devi
1000,dhodi  devi
1001,meera sharma
1002,devya soni  poonam
1003,munni  ami lal
1004,shivani  late sh rakesh
1005,huseni
1006,saroj devi
1007,asmit
1008,parvesh
1009,haldar
1010,priya gupta
1011,chhagana
1012,beena mandal
1013,soma
1014,kushumlata
1015,ghuddi
1016,koyal
1017,manful
1018,charu
1019,shmejha
1020,shama praveen
1021,reetu  reeta
1022,hoor bano
1023,panchi sita devi
1024,meeno
1025,prem wati
1026,belo
1027,minka  nandu
1028,samina
1029, leela
1030,heena praveen
1031,gill
1032,asha devi along with her doughter namly pooja age
1033,ramkali
1034,punam
1035,chhanya
1036,km antim
1037,laxmi  lalita
1038,lahida
1039,kanchan kumari
1040,kesha
1041,salima
1042,sushmita mandal
1043,begumpur malviya nagar delhi
1044,mis radha regar
1045,rajani yadav
1046,kumari preeti kuntal
1047,shusila devi
1048,tulsi sharma
1049,km dayji
1050,kalavati
1051,nisha ninu
1052,itvarya
1053, shiya
1054,jainab fatima
1055,anjli 
1056,chander klan
1057,gulnaaz
1058,sangeeta
1059,paka kanda swamy
1060, kaushalya
1061, jhamaku
1062,ramli rathore
1063,kanika
1064,shika
1065,ankeet kumar
1066,manju bohra
1067,tumpa mundal
1068,yrsdeepak
1069, anita devi
1070,kaushar
1071,mmt
1072,mukesh kanwar
1073,girija
1074,radhika
1075,anjali   nisha
1076,sahiba  ruby
1077,chaman
1078,sharama
1079,kanta sharma
1080,jadhav
1081,ku shivani
1082,mishbha sams  simran
1083,sahna parveen
1084,dipanshi
1085,km simarjeet kaur
1086,asma
1087,rimzim
1088,putri
1089,baano
1090,nasreema
1091,gop
1092,kumari pallavi
1093,dimple
1094,amena
1095,manjula kumari
1096,srita devi
1097,pandey
1098,lakhsmi
1099,ritik
1100,rajdulari
1101,ambika
1102,soniya two daughter  janvi and manvi ram bhawan
1103,dhana
1104,danwati
1105, rekha meghwal
1106,swatri
1107,deu
1108,lata  neha
1109, punam
1110,ankeet
1111,captain
1112,tamanna banu
1113,minakumari
1114,sundri
1115,naresh
1116,chnda mali
1117,aarti choudhri
1118,kriti
1119,miss badi
1120,kiran yadav
1121,shabanam
1122,neeraj
1123,husainpreet
1124,mamta pal
1125,banjara
1126,kulina
1127, amita yaday
1128, bhgavti devi
1129,divya mishra
1130,chaman jahan
