,actual,LGBM
70107,235.0,138.42604670129793
379029,207.29,188.70728182770836
369039,125.0,223.58671306567962
220065,350.0,336.68984996942663
245934,200.0,173.2229499721942
40491,697.47,691.5373695715369
157518,145.0,146.318190012691
79101,129.0,161.54831748204177
409174,280.0,276.6702740747216
173739,0.0,2.1844280901736064
321893,80.0,79.4364444521762
211753,130.0,160.86634510700475
83070,240.75,227.7261740117776
209307,170.0,185.05762499038107
205307,183.0,195.07177263134813
111206,0.0,3.458819460862633
120029,295.0,218.229306902637
108340,410.0,404.2618720317024
386285,85.0,95.26808311445232
180658,105.0,156.98862643540676
29401,485.0,499.78966075053387
242137,248.75,236.35528925336786
240360,133.79,114.14243395366954
105774,185.0,172.53719375481737
79879,380.0,371.87020320111884
108203,500.0,494.354770696478
280186,322.45,316.04114470534887
286334,88.99,113.807216120337
321698,0.0,2.6656354164736555
172991,150.0,133.25315347277188
18634,75.0,126.85167962246953
200736,250.0,230.62588724810843
38628,102.15,143.06798090030435
201171,0.0,2.506263002117225
152167,0.0,-2.5721136853056756
87250,300.0,197.38667969003865
307434,125.0,182.08905658079513
214466,450.0,451.57762534173713
3905,323.46,191.8109316064806
230781,450.0,427.926123380864
326586,125.0,131.98701085362384
142834,286.0,282.0783908319834
333634,299.98,244.0762883300398
285523,0.0,-0.5099668827021244
284032,225.0,209.58898705594785
125003,600.0,602.4088873798712
337968,239.63,182.10627685204685
155870,112.5,146.5767249280219
208690,248.5,213.8819651045109
344699,460.0,460.62489060809673
141555,120.0,110.10573929830058
277223,125.0,177.03242008036162
93131,598.0,574.5810595720557
118278,85.0,149.52690754976396
73813,195.0,186.68053321811772
375858,588.0,539.2271883934118
129587,79.95,132.66455639291348
160639,90.0,145.9587339256466
380947,385.37,384.0430119760566
106667,140.0,133.55043968603974
385980,305.0,343.4305761998285
250819,260.0,258.8833587508902
81412,75.0,106.67019355321713
230872,338.48,331.44749672767375
326012,460.0,458.19901643781384
147949,0.0,-0.5713269403572948
125954,175.0,153.3965227371096
63109,670.0,631.0797116779064
263465,150.0,145.66363965456918
224516,0.0,3.3093504625874686
229227,545.0,522.6616541835656
238658,525.0,524.0168314471981
288353,195.9,183.75679828367413
106926,194.0,186.42858093349633
363195,244.5,177.71162672580266
237852,114.25,206.37212575637238
256943,269.32,265.04119968211063
113045,80.0,76.83100880784043
17711,139.6,200.78842603147828
99380,270.0,277.9921858675895
124708,281.45,276.35397906606687
48700,64.25,193.32539643468766
356317,39.95,34.121748652672615
255990,0.0,2.8729597777566274
360741,160.0,171.29299062920012
244766,226.68,217.97388875091409
407463,249.29,239.25282624602164
111754,0.0,-0.909924401331204
23863,185.0,205.88444573385726
271154,175.0,168.25303827137174
260838,189.0,191.7969780148168
9836,75.0,122.19128443779
324948,400.0,435.6073191597613
343104,625.0,600.773111510482
114180,170.0,171.38529164134144
1243,425.0,430.486946588506
188418,387.79,389.85297015935083
370463,152.46,147.48302201497003
46800,170.0,170.353636777045
352095,452.0,434.1994051822419
354189,673.88,658.2087431879954
112627,80.0,78.03392093219061
372029,187.5,141.16235517053858
289397,150.0,154.1266355981755
271218,232.5,225.7767682433563
384278,286.31,283.8123930936805
7319,100.0,173.17089113445547
239945,200.0,161.34410622397468
95365,180.0,181.09197015628672
387281,604.95,579.069202747548
241543,435.0,424.08824450602253
54269,140.0,230.26080514514152
220380,93.87,108.17997875413577
321847,150.0,137.35304705150483
423643,228.0,169.63614666659427
49779,170.0,152.62201168867153
181403,0.0,147.1697241396934
204582,145.0,163.32390998878043
247786,65.1,140.3016073484756
301136,152.82,168.47521260374936
303374,80.0,97.39749664710239
132779,156.25,159.01458955561515
172535,445.0,432.3986384226733
123577,165.0,160.32853213938137
291817,120.0,144.59848832483115
88942,80.0,84.62417374491869
402739,343.0,362.6532403188856
180976,275.0,274.6078569723976
378480,148.37,96.76560683057872
38095,354.0,140.2627604365704
57893,280.0,275.10846189471687
369674,373.0,361.9735093880536
366080,200.0,169.93406751985341
306234,110.0,111.86613908360903
22315,319.96,338.6461471146433
330906,450.0,444.78494227953485
108336,95.0,160.65945320800486
308939,150.0,126.37125164155835
128755,275.15,275.0530811776606
220103,150.0,156.77449728554944
211448,125.0,149.71327914786963
81282,135.0,172.52689090428223
172662,185.0,158.85786708707735
157945,150.0,139.74623588189178
84122,300.0,204.21309728175763
180017,176.0,162.98867379620668
232680,350.0,316.4189192919312
365102,187.5,176.57840735316094
187374,586.28,572.2491680547965
113025,330.0,299.43137829644724
393475,35.0,107.6329898327779
285481,95.0,124.48319551214082
164480,294.07,293.54585375636685
425295,0.0,-1.0931415363888366
178492,85.0,153.04439996155833
270318,159.9,152.93130505549306
282372,150.0,184.82504330767253
386075,213.51,191.92635931322977
407281,0.0,4.207870946536808
142650,431.4,425.9190007529988
141418,159.86,102.19535482468139
307048,145.0,175.08141771772884
250481,250.0,199.4208293747137
104952,75.0,88.02913092349641
402106,109.99,138.79786588681247
27479,360.0,256.08316794709555
256157,199.6,136.9620686742429
284681,300.0,274.0508565998348
11016,232.5,208.3579554373306
105289,168.0,140.51666106876624
21700,92.0,144.2445247184221
296102,213.5,152.6980998486111
83047,170.0,138.40518220227995
44236,75.0,221.657558700404
106533,404.15,408.41947606131424
256023,170.0,163.68812956610026
80240,585.0,572.151605757292
203076,250.0,224.81553000930575
16915,627.0,621.2190537030942
15201,114.75,171.0996456369474
33063,511.0,502.37872898609334
65820,380.0,377.9396668521828
289502,159.0,155.58689072773691
424065,75.0,146.82113143709913
147891,335.0,328.3924933632752
43213,191.25,260.5770615834672
106536,69.0,177.24743621051115
239268,315.0,323.25539500093794
143759,95.0,155.7529621843081
200954,92.9,179.77362606380004
206155,130.0,154.34790339813784
247636,0.0,-1.9891711509653212
108116,197.5,195.8894804585701
40543,447.0,434.0358754306869
367148,300.0,272.74112194549576
385145,160.0,150.9528832789703
311841,200.0,186.14204524466243
380349,415.0,385.4501848645397
72209,346.0,311.50292253290536
286225,0.0,0.07642090276081594
64066,295.0,186.34748021375484
417715,250.0,170.72322568908226
53954,218.7,216.6470751536193
175241,450.0,503.4273769355237
125856,225.0,158.272447635788
380012,49.95,89.80653849367941
303389,450.0,410.5949024367416
46024,63.0,185.65745135208763
97432,350.0,216.9732673644187
404174,296.0,291.4110594705977
210831,450.0,421.5680788002616
294451,592.0,589.1348021181886
305765,265.14,229.45015175811378
53612,99.64,162.6605616947426
312519,200.0,170.70350602633852
155860,200.0,185.53631915579513
331242,150.0,145.55796241566685
43405,340.0,175.16186155617672
337536,440.2,440.1005588877688
3877,150.02,181.25018798711955
25666,160.0,292.6420659821287
363256,350.0,336.0467766060178
149945,705.0,682.8330902413605
59175,96.25,166.87850718220852
297048,250.0,227.3294853709232
150643,199.0,199.5158162355546
58756,275.0,200.38807295212112
326195,474.0,465.75018823580933
87379,250.0,251.03161249502662
